commit	model_family	rmse	trip_rmse	status	features	description
2dfdc45	RandomForest	0.013345	0.003037	keep	speed_mph,grade_percent,miles	baseline
2941504	GBDT	0.013343	0.003038	discard	speed_mph,grade_percent,miles	swap RF for HistGradientBoosting (dead tie on both metrics, not simpler)
274605a	RandomForest	0.007317	0.002329	keep	speed_mph,grade_percent,miles,dke_per_mile	add dke_per_mile = (v_next^2 - v_prev^2)/miles from neighbour link speeds
e9b92ca	RandomForest	0.007192	0.002335	discard	speed_mph,grade_percent,miles,dke_per_mile,v_in	add v_in (entry speed from the previous link)
e999783	GBDT	0.007131	0.002205	keep	speed_mph,grade_percent,miles,dke_per_mile	swap RandomForest for HistGradientBoosting (identical config to exp1, now with dke_per_mile present)
c453af9	GBDT	0.007163	0.002191	discard	speed_mph,grade_percent,miles,dke_per_mile	raise max_leaf_nodes 31 -> 255
6699728	GBDT	0.006653	0.002147	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link	add dke_in_link, the entry-half of the kinetic-energy change ((v^2 - v_in^2)/miles)
ab26827	GBDT	0.006336	0.002099	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds	add gap_seconds, the idle time between the previous link ending and this one starting
32be6a9	GBDT	0.005837	0.002065	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles	add prev_miles, the length of the previous link
1491bef	GBDT	0.005748	0.002064	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles,next_miles	add next_miles, the length of the next link
7b08ce5	GBDT	0.005625	0.002062	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles,next_miles,next_gap_seconds	add next_gap_seconds, the idle time after the link
76e423b	GBDT	0.005360	0.001985	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles,next_miles,next_gap_seconds	raise max_iter 300 -> 2000
da8388c	GBDT	0.005379	0.001975	discard	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles,next_miles,next_gap_seconds	raise max_iter 2000 -> 8000
5c13123	GBDT	0.005114	0.001958	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles,next_miles,next_gap_seconds,prev2_speed	add prev2_speed, the speed two links back
93d7fa8	GBDT	0.005064	0.001951	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles,next_miles,next_gap_seconds,prev2_speed,dv_out	add dv_out, the exit speed change on a raw scale rather than per mile
4f5389e	CNN	0.006440	0.002078	discard	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles,next_miles,next_gap_seconds,prev2_speed,dv_out	replace the GBDT with a dilated 1-D CNN reading the whole journey link sequence (same 11 features, +/-30 link receptive field, 431s on GPU)
610f052	GBDT	0.005041	0.001814	keep	speed_mph,grade_percent,miles,dke_per_mile,dke_in_link,gap_seconds,prev_miles,next_miles,next_gap_seconds,prev2_speed,dv_out,journey_rate	add journey_rate, a leave-one-out shrunk mean of the journey's training-link rates
